source,target,weight,source_name,target_name
001BRs1DvIhRsEOUIF003Q,0Qtf2s2Ix48i5XLibtgFTs,1,Malcolm McCormick,Kendrick Duckworth
001BRs1DvIhRsEOUIF003Q,0kn8yn9vh6Db8pwH8lDrsR,1,Malcolm McCormick,Tyrone Johnson
001BRs1DvIhRsEOUIF003Q,15PAJbfccQUi7UcXrXeaJ6,1,Malcolm McCormick,Jeremy Rose
001BRs1DvIhRsEOUIF003Q,1JiUqDfYpPy30kqAnQ9WIr,1,Malcolm McCormick,Brandon Anderson
001BRs1DvIhRsEOUIF003Q,33mfTypF65SCEEKp66bs4Q,1,Malcolm McCormick,Donte Perkins
001BRs1DvIhRsEOUIF003Q,4AHKNJhCKSo1Lcvjuh8L7o,1,Malcolm McCormick,Nikolai Hamedi
001BRs1DvIhRsEOUIF003Q,5a5AQ601XiKhT2fl5Tf3nM,1,Malcolm McCormick,Damon Riddick
001BRs1DvIhRsEOUIF003Q,5cM1PvItlR21WUyBnsdMcn,1,Malcolm McCormick,Robert Glasper
001BRs1DvIhRsEOUIF003Q,5heNm2ip4tsArfVqVAGTSE,1,Malcolm McCormick,Bilal Oliver
001BRs1DvIhRsEOUIF003Q,6XEA93vboCWVoXnBxy2lZH,1,Malcolm McCormick,Christian Berishaj
001BRs1DvIhRsEOUIF003Q,6fkSwvvze0aYcg5N1af0Is,1,Malcolm McCormick,Larry Sheffrey
001BRs1DvIhRsEOUIF003Q,6hZPzjNFtIhprlbfYp3Zba,1,Malcolm McCormick,David Pimentel
001BRs1DvIhRsEOUIF003Q,7FXzqRZewOkGMoFfaJlXOt,1,Malcolm McCormick,Eric Dan
001BRs1DvIhRsEOUIF003Q,7GzQKgKlCIMxUEcYQ6FJ8l,1,Malcolm McCormick,Vic Wainstein
001BRs1DvIhRsEOUIF003Q,7pgtXijqMRjwpXk7yEHb4k,2,Malcolm McCormick,Aja Grant
0021qAAGojqCJyBpkLOk0N,0n4cngFubeWJ3iOskamHKz,1,Jovonn Alexander,Chad “Dr. Cuess” Elliot
0021qAAGojqCJyBpkLOk0N,4mgrHjEvv5D6eCNGj8tR3m,1,Jovonn Alexander,Rufus Moore
0021qAAGojqCJyBpkLOk0N,6vWDO969PvNqNYHIOW5v0m,1,Jovonn Alexander,Beyoncé
002NEYuTuhDfoPgCCqRR9i,6i0K1ipOZt2117LfIYjJLA,2,Matt Mckinney,Jacob Davis
002NEYuTuhDfoPgCCqRR9i,7i17Lwe8Ds1mTCfGCVmvr3,2,Matt Mckinney,Jordan Walker
003KCYySZtBHoML8SP5FRg,0vtPV9tvpSLNAzG6eVJmt8,1,Evan V. McCulloch,Nick Nastasi
003KCYySZtBHoML8SP5FRg,1uGGeIzkOYZbPJgJCSQ3SL,1,Evan V. McCulloch,Alisha Brooks
003KCYySZtBHoML8SP5FRg,4PnQCRCzcWFMDksqJsTZjK,1,Evan V. McCulloch,Ryan William Stokes
005tEj2aL0M8XYK17uy77Y,0LjCjEYeVG5YkwEfPuid5e,1,Thiago Soares,Pedrinho Da Flor
005tEj2aL0M8XYK17uy77Y,2LiVZe95F3Ik2YxrUPVDVG,1,Thiago Soares,Wagner Zaparolli
005tEj2aL0M8XYK17uy77Y,4JSFeB0VNPrudEXLS91ftm,1,Thiago Soares,Feijão
005tEj2aL0M8XYK17uy77Y,4SFebRuEOVdXpoagmy9Stg,1,Thiago Soares,Felipe Silva
005tEj2aL0M8XYK17uy77Y,54AGuwJrySOa6TWeadukdk,1,Thiago Soares,Rosyl
005tEj2aL0M8XYK17uy77Y,6UJLt90OQriJQOMFvoUJmp,1,Thiago Soares,Claudemir
005tEj2aL0M8XYK17uy77Y,7hvvCzSsMXMGuMJFK7WdkU,1,Thiago Soares,Miranda
005tEj2aL0M8XYK17uy77Y,7lwrjVU0sgMYIjukl4RD2o,1,Thiago Soares,Anderson Leonardo
00DEkuh1ykpKP86MQSctfP,144zlFSuajNMQ4eiSBmu59,46,James Sullivan,Matthew Sanders
00DEkuh1ykpKP86MQSctfP,22auiWyhm7FM4fopkec9wa,1,James Sullivan,Brian Haner
00DEkuh1ykpKP86MQSctfP,3VUtIyQND01dwKtE0hmNV9,1,James Sullivan,Matthew Baker
00DEkuh1ykpKP86MQSctfP,49UYy9iqp0SxY0Zvz8dYHf,42,James Sullivan,"Brian Elwin Haner, Jr."
00DEkuh1ykpKP86MQSctfP,4Z1bEMqqTAQgKgg5HP6mLJ,44,James Sullivan,Jonathan Seward
00DEkuh1ykpKP86MQSctfP,7pU3Pzko0ibZFonI132QeU,42,James Sullivan,Zachary Baker
00Y4ac2cCep3TD42DBjSjs,1dtSstUYSQP6KEP5JfndVn,2,Billy Gould,Mike Bordin
00Y4ac2cCep3TD42DBjSjs,34Ai24gPz5YJ8NbksiNFef,2,Billy Gould,Mike Patton
00Y4ac2cCep3TD42DBjSjs,3df9hKnEeU6fawqMebdPAe,2,Billy Gould,Roddy Bottum
00Y4ac2cCep3TD42DBjSjs,7I1MLOK177GTyunWVTCTm6,2,Billy Gould,James Martin
00Z9sdqxgH0Eb8laFUY1WU,52XgeWw24o4klNdfwvB0Vx,1,Denny Thakrar,Kunaal Vermaa
00aC4KsSLLKtLD8eVEqXJI,2lP2ycs8FLvNSYurlfccCT,1,Juan Antonio Otero Perez,Cristobal Prisco Lopez de Reboleño
00aC4KsSLLKtLD8eVEqXJI,5dSGUB6CsC4Mufn6ZtVbsq,1,Juan Antonio Otero Perez,Carlos Gonzalez Tarque
00aC4KsSLLKtLD8eVEqXJI,5pJ1mFxKtHOGrgEkVO4Vfm,1,Juan Antonio Otero Perez,Juan Pascual Saura Eugenio
00aC4KsSLLKtLD8eVEqXJI,5uBGCpAGFJBRBWh6ZVZCBg,1,Juan Antonio Otero Perez,Santiago Campillo de Juan
00aC4KsSLLKtLD8eVEqXJI,6KldGwzw2bwc3FB1ptYwTX,1,Juan Antonio Otero Perez,Ricardo Ruiperez Gonzalez
00cbt9KeDhqkJNoLKQTg1f,2spV4XH1Y79reZHQa3Fe1N,1,Victor Serqueira de Oliveira,Thomaz Matos
00dv5GSsZU296LxQX3ezLe,4SD579pxJtfZ6aIKr6U2Tp,1,Ki Fitzgerald,Fridolin Walcher
00fiwJI0TrpBPzL8wBF3rz,2XgNUEi1fsf0sQv6rJMvOX,1,Jordan Johnson,Sarah Aarons
00fiwJI0TrpBPzL8wBF3rz,3YwiR4tc3qxEMmunC7Jimg,1,Jordan Johnson,Marcus Lomax
00fiwJI0TrpBPzL8wBF3rz,3r2Wkw5xjNSeBydK9DpTvm,1,Jordan Johnson,Kyle Trewartha
00fiwJI0TrpBPzL8wBF3rz,53rHFM6KzE0R1RUIli2XkM,1,Jordan Johnson,Anton Zaslavski
00fiwJI0TrpBPzL8wBF3rz,5o8GK52GXZFdUoBk3QI2PR,1,Jordan Johnson,Stefan Johnson
00fiwJI0TrpBPzL8wBF3rz,71SwFEiHE17740w9AMstYt,1,Jordan Johnson,Michael Trewartha
00nbFYv2QBbuQVSBhi7f5w,3M0H4efyA5YcijrKlaKbYn,1,James Ford,Miles Kane
00nbFYv2QBbuQVSBhi7f5w,64NKgAssgXQQCIHtQZd6Tq,1,James Ford,Alex Turner
00o4bKd4yjkbHQAsdS3Spy,0igVLrszMWpKfmkBJOXhBf,1,ANTÔNIO EUSTAQUIO RIBEIRO,Paulo Roberto dos Santos Rezende
00o4bKd4yjkbHQAsdS3Spy,2cAooeeHKk2UvzUgIxpS0y,1,ANTÔNIO EUSTAQUIO RIBEIRO,Jorge Aragão
00o4bKd4yjkbHQAsdS3Spy,37vd9CTkdbt8pSp04B3wDc,1,ANTÔNIO EUSTAQUIO RIBEIRO,Flavio Cardoso
00o4bKd4yjkbHQAsdS3Spy,5FmhfBba6vPCcFpaDRMALj,1,ANTÔNIO EUSTAQUIO RIBEIRO,LOURENÇO FILHO
00o4bKd4yjkbHQAsdS3Spy,5UFAV2zLKjMLpCbHGdGPfO,1,ANTÔNIO EUSTAQUIO RIBEIRO,Jorge Cardoso
00oR5nYTpquGp8gOUcXw5P,7GyuPHgHX51k9hBQ1wGM0O,1,André da Mata,Zé Katimba
00pPUjLCw2JjUhp8xyHHhF,3WDVyv01yK8iPfMDzY2Dzt,1,William Santos,Vine Show
00pPUjLCw2JjUhp8xyHHhF,4hnGBFg0jUcUjdFAJKFEsO,1,William Santos,Elias Ricardo da Silva Mafra
00pPUjLCw2JjUhp8xyHHhF,6VnZXneIpxA04MhrnvOyoS,1,William Santos,Rodrigo Reys
00uxeKktyArEHIwtnFc4gQ,0cHt3x4msA7M6QCByWhHbm,1,Nick Gale,Pablo Bowman
00uxeKktyArEHIwtnFc4gQ,2DcvJLgBfhwYDGxR5nGjw5,1,Nick Gale,Richard Boardman
00uxeKktyArEHIwtnFc4gQ,2P5EvsSY4KZpKV1l04UwwY,1,Nick Gale,"Gregory ""Aldae"" Hein"
00uxeKktyArEHIwtnFc4gQ,7oCKhjoGpzR9Yza9IC2r8A,1,Nick Gale,Khalid Robinson
00vQAV0889qSG0IXZFXURE,4shtlt5ew35PmKKzCwNThm,4,Tom Martin,Martijn Konijnenburg
00vQAV0889qSG0IXZFXURE,74wXW513Ovy4ux507Wo67A,4,Tom Martin,Brad Mair
00yGG3FRJTS69T3YhlTiz9,0IMHaOQs5VXTpS2sY8CmpK,1,MARIA EDUARDA LEMOS SILVA,LUAN DE SOUZA DOS REIS
00yGG3FRJTS69T3YhlTiz9,33s7loedfreNmAVUd2K0Gh,1,MARIA EDUARDA LEMOS SILVA,YASMIN MILENA SANTOS SILVA
00yGG3FRJTS69T3YhlTiz9,3Q6zKFNRxGtVFw5Oxr7lrS,1,MARIA EDUARDA LEMOS SILVA,JOSÉ LUIS PLATA PALMERA
00yGG3FRJTS69T3YhlTiz9,3ieJRJF7bmd1luibNRyU2J,1,MARIA EDUARDA LEMOS SILVA,MATHEUS PAZ DA SILVA
00yGG3FRJTS69T3YhlTiz9,6yLY7jutzFWUMZz8Fpoa29,1,MARIA EDUARDA LEMOS SILVA,MARCOS VINÍCIUS PEREIRA CARLOSSO
013B9kT84vKw2RJoD61Oza,1nrw4t5ANxthwYWi75fCQ8,1,Steven Lockett Jr,Jahvor Thiam
013B9kT84vKw2RJoD61Oza,3NH1KQd0gb9PbIyX1rxXsS,1,Steven Lockett Jr,Amirah Thiam t/as Amirror
013B9kT84vKw2RJoD61Oza,57Xb6eHSn8PCJ5FpWWEoUX,1,Steven Lockett Jr,Ali Osborn Thiam
013B9kT84vKw2RJoD61Oza,5Kp103RwGWjNkJ378JJ6r3,1,Steven Lockett Jr,Charles Akwuba
013B9kT84vKw2RJoD61Oza,5LC8o6UD6Pcvkmt4fPsNs8,2,Steven Lockett Jr,"Aliune ""Akon"" Thiam"
014E60dz5YZD92GgjwBTAX,37vlR35ITqk8nv9Qhnq50M,4,Juninho Kassanikeo,Vandeco
016EdC0IPAo4Okh8DmQemS,2dEZtPJFspWetycGtouit2,1,Jeff Middleton,Seth Ennis
018m1v4umgHCYHhhHZDT43,1PvBXGOTvO3zrbDtL5mKEB,1,Jean-Paul Gaster,Neil Fallon
018m1v4umgHCYHhhHZDT43,5yT4gyLFVQ4b5J36JjGUS0,1,Jean-Paul Gaster,Tim Sult
018m1v4umgHCYHhhHZDT43,79JwB6Gymg9SarDDzB7upn,1,Jean-Paul Gaster,Dan Maines
0191AcEve4ZEiEKUiJivd5,090zSCJT6CCSjzklzlsej7,11,Lillian Keila Santos de Freitas,Micael Felipe Oliveira Mendes
0191AcEve4ZEiEKUiJivd5,0COExmFv2Im4CbISzQLroY,11,Lillian Keila Santos de Freitas,Ruama Bello Milhorance Alvarenga
0191AcEve4ZEiEKUiJivd5,0b69bmBRdyEUSdZrMyx6mU,11,Lillian Keila Santos de Freitas,Luana Karina Lopes Dalamaria
0191AcEve4ZEiEKUiJivd5,0tWvq0VRsQrYP87mIzOYhc,11,Lillian Keila Santos de Freitas,Lucas Gabriel Abentroth
0191AcEve4ZEiEKUiJivd5,1YDkp8GXazcgZoHto7mQpe,11,Lillian Keila Santos de Freitas,Cristina Flores Martins
0191AcEve4ZEiEKUiJivd5,1pROiRW0gzhfE3bvIjgdZC,11,Lillian Keila Santos de Freitas,Lucas Julio Silveira
0191AcEve4ZEiEKUiJivd5,24wELljDGpFvtxih7Jyy6S,11,Lillian Keila Santos de Freitas,Murillo Camargo Moura
0191AcEve4ZEiEKUiJivd5,2EmkhAhPmqgU8sp0ob72iz,11,Lillian Keila Santos de Freitas,Misael Oliveira Barbosa
0191AcEve4ZEiEKUiJivd5,2jKsjIrGLSJunoQ7P9G6Ja,11,Lillian Keila Santos de Freitas,Gabriel Santos Mendes
0191AcEve4ZEiEKUiJivd5,2u8y1RJmu9hO2lo9YsHo69,11,Lillian Keila Santos de Freitas,Laiane Torres Campos Francisco
0191AcEve4ZEiEKUiJivd5,2xxrL4hNfUQDHqkO7rwzMo,11,Lillian Keila Santos de Freitas,Matheus Ivan da Silva
0191AcEve4ZEiEKUiJivd5,32NKSNYuR0uQYnasKIl1vj,11,Lillian Keila Santos de Freitas,Richardson dos Reis Santos
0191AcEve4ZEiEKUiJivd5,49dw4uKL01IL0ph4rF9nkh,11,Lillian Keila Santos de Freitas,Jessyka Porfirio Silva
0191AcEve4ZEiEKUiJivd5,4CXo2fc4KYT5QUiBeyLVum,11,Lillian Keila Santos de Freitas,Mariana da Costa Bonatto
0191AcEve4ZEiEKUiJivd5,4QpWoDmXPsYs3Y8ji1Hi8s,11,Lillian Keila Santos de Freitas,Jonathan Souza de Oliveira
0191AcEve4ZEiEKUiJivd5,4n1QseCLdUMYq2uXNAuej5,11,Lillian Keila Santos de Freitas,Fernanda Cardoso Castro Costa
0191AcEve4ZEiEKUiJivd5,4yDTJ9RVRhFjmAR3ysNsaT,11,Lillian Keila Santos de Freitas,Marcelo Augusto
0191AcEve4ZEiEKUiJivd5,57O3RPXHNUR9XRdHsTlRER,11,Lillian Keila Santos de Freitas,Andréia de Farias Brito Ghiraldello
0191AcEve4ZEiEKUiJivd5,5F6K3VZ4njWHBrtiHWKcQV,11,Lillian Keila Santos de Freitas,Jessé Pereira de Oliveira
0191AcEve4ZEiEKUiJivd5,5ufeSAK9OJhsZ4JfxjnmUt,11,Lillian Keila Santos de Freitas,André Fritz do Amaral
0191AcEve4ZEiEKUiJivd5,6YhDebMTfONw08hCNFPDOe,11,Lillian Keila Santos de Freitas,Rossiclei Duarte de Lima
0191AcEve4ZEiEKUiJivd5,6jcaFu5t6OajYlT3inEMkM,11,Lillian Keila Santos de Freitas,Hananiel Eduardo
0191AcEve4ZEiEKUiJivd5,6zIflOoFBBE2Lu3TiRi4mo,11,Lillian Keila Santos de Freitas,Douglas Pereira de Oliveira
0191AcEve4ZEiEKUiJivd5,79o1GwgYK0fbBhhOeYduWS,11,Lillian Keila Santos de Freitas,Érico Fernando da Silva
0191AcEve4ZEiEKUiJivd5,7A715MmSQvu0gHxNSikAaE,11,Lillian Keila Santos de Freitas,Márcia Thaís Silva de Brito
0191AcEve4ZEiEKUiJivd5,7J7ZhQiBFwQ0Cw9FexOxOc,11,Lillian Keila Santos de Freitas,Marllon Victor Gomes Teixeira
0191AcEve4ZEiEKUiJivd5,7Lsa4k5uJSbx8twuY0lviR,11,Lillian Keila Santos de Freitas,Narayane Gonçalves Nogueira Maciel
0191AcEve4ZEiEKUiJivd5,7c6Kb0bNsXgUvdtLHYoTz2,11,Lillian Keila Santos de Freitas,Reinaldo Santos da Rocha
0191AcEve4ZEiEKUiJivd5,7ntqHeHxalb5xIwFiM43wd,11,Lillian Keila Santos de Freitas,Alanderson Alves dos Santos
0191AcEve4ZEiEKUiJivd5,7vpSYH6M8ICmu9kSmoaB7N,11,Lillian Keila Santos de Freitas,Daniel Lucas Moreira de Oliveira
01B7L6VKoSkdNmRCTFFbfL,5JgoyOWftgSirjBC6JUvZS,1,Gene Lees,Ronaldo Bastos
01C9OoXDvCKkGcf735Tcfo,1xiaqHkrYo04iuDw2h7kft,1,Serge Gainsbourg,Gaspard Augé
01C9OoXDvCKkGcf735Tcfo,2qgGAqmxnw2ZD75j8PIHIP,1,Serge Gainsbourg,Craig Balmoris
01C9OoXDvCKkGcf735Tcfo,33ATSg8xvsPm62V5GrNQnU,1,Serge Gainsbourg,Tyler Mehlenbacher
01C9OoXDvCKkGcf735Tcfo,40fXorKxNI8v7DXE2TmjD6,1,Serge Gainsbourg,Daniel Tannenbaum
01C9OoXDvCKkGcf735Tcfo,5qVjlR7FdkIESQIL7Rx6cQ,1,Serge Gainsbourg,Daniel Krieger
01C9OoXDvCKkGcf735Tcfo,5y3x64wSXGsRocfuohqgtA,1,Serge Gainsbourg,Xavier de Rosnay
01C9OoXDvCKkGcf735Tcfo,6aUDPYQOrVR19WrZHOk6RA,1,Serge Gainsbourg,Sean Miyashiro
01DTi4EaPGQYOfQzSHaZj5,1ZteaZqrk8WIJzuZy7RviR,1,Matt Nelson,Jon Fernandez
01DoWZ9B8Wo5ViVfqqhW9o,0B5MWw034pSHP2SWiV3dh5,1,Junior Pepato,Felipe Marins
01DoWZ9B8Wo5ViVfqqhW9o,0rAX1FPdcIfMohcRntNxu1,2,Junior Pepato,Matheus Candotti
01DoWZ9B8Wo5ViVfqqhW9o,0z4JZadCwwIz2B3bEer23M,4,Junior Pepato,Flavinho Tinto
01DoWZ9B8Wo5ViVfqqhW9o,13bfonm3BC5DcClkaqMVE1,1,Junior Pepato,Emerson Coelho
01DoWZ9B8Wo5ViVfqqhW9o,1otl7hru7rfbliravrQJj3,4,Junior Pepato,Mateus Candotti
01DoWZ9B8Wo5ViVfqqhW9o,2nzX6fiu4FAd1I0pBBcktf,1,Junior Pepato,Edson Garcia
01DoWZ9B8Wo5ViVfqqhW9o,2sdB0tc8DNOpyKHdQk6MrX,9,Junior Pepato,Elcio Di Carvalho
01DoWZ9B8Wo5ViVfqqhW9o,2zDkaOopbkZtyooLypFEY7,8,Junior Pepato,Diego Silveira
01DoWZ9B8Wo5ViVfqqhW9o,35AUokzWugyxT88C891jDf,6,Junior Pepato,Rafael Borges
01DoWZ9B8Wo5ViVfqqhW9o,3LP1xL0yktdWF9FmzE9uXs,1,Junior Pepato,Danilo Davilla
01DoWZ9B8Wo5ViVfqqhW9o,3WDVyv01yK8iPfMDzY2Dzt,2,Junior Pepato,Vine Show
01DoWZ9B8Wo5ViVfqqhW9o,3kz1MToxXOeJU18hzSRbRm,2,Junior Pepato,Thales Lessa
01DoWZ9B8Wo5ViVfqqhW9o,4pSxl0QM9CfoGUT37xVHBI,4,Junior Pepato,Juliano Tchula
01DoWZ9B8Wo5ViVfqqhW9o,4vVmbxKzMbjD3gUKFbeT8N,1,Junior Pepato,MATEUS FÉLIX
01DoWZ9B8Wo5ViVfqqhW9o,5KChwtGx1aS5gWmxoRK4xt,4,Junior Pepato,Nando Marx
01DoWZ9B8Wo5ViVfqqhW9o,60n5Zsad5tTJnQaABfvw9j,6,Junior Pepato,Benicio Neto
01DoWZ9B8Wo5ViVfqqhW9o,64z5b9YLNYN0a7dAa0mQ3y,3,Junior Pepato,Lari Ferreira
01DoWZ9B8Wo5ViVfqqhW9o,6cLVl7srm5VMzQ8IBb8yuW,1,Junior Pepato,Flavinho do Kadet
01DoWZ9B8Wo5ViVfqqhW9o,6mBu0KvwER7bG7klhwbDte,1,Junior Pepato,Rangel Castro
01DoWZ9B8Wo5ViVfqqhW9o,6szSTLtrerR6BvR5NGWUOc,1,Junior Pepato,Marco Carvalho
01DoWZ9B8Wo5ViVfqqhW9o,7ngWf1tlJyuyaQOpYym5KD,4,Junior Pepato,Douglas Mello
01HaDEWYoJwaJcMmZFxb6n,1ivoavct6E182yXgKQ0lSf,2,Mark Foster,Karen Ørsted
01HaDEWYoJwaJcMmZFxb6n,2IQPoTxgSjjT6mxQcbFzdm,2,Mark Foster,Albin Nedler
01HaDEWYoJwaJcMmZFxb6n,2h8Ag2CtHGnvxRgfKUIZHH,2,Mark Foster,Kristoffer Fogelmark
01HaDEWYoJwaJcMmZFxb6n,3MUizwh4ZdiKY1OYmtCa53,2,Mark Foster,Ajay Bhattacharyya
01HaDEWYoJwaJcMmZFxb6n,5fbbqdJPcqNyvJofPeAI1p,1,Mark Foster,Matt James
01HaDEWYoJwaJcMmZFxb6n,7dRVf4l7FPcWZfrTQKJft4,1,Mark Foster,Isom Innis
01HmEyGXGfJsG7rtdtrsJ6,04j51Rme2NrwtK6ODlJeP4,1,Luís Cláudio Picolé,Zé Maurício
01HmEyGXGfJsG7rtdtrsJ6,2jEgEALd8HRhPWwjsPalIn,1,Luís Cláudio Picolé,Charles André
01HmEyGXGfJsG7rtdtrsJ6,3kKIp44EbG9LcPSxE0zYOR,1,Luís Cláudio Picolé,Elias Muniz
01HmEyGXGfJsG7rtdtrsJ6,5QBlTHc0JdgTQ5dFmUAHUB,1,Luís Cláudio Picolé,Ito Reixach
01HmEyGXGfJsG7rtdtrsJ6,5b3X1ruUs6Y8pLzFPgFCbK,1,Luís Cláudio Picolé,Julinho Santos
01HmEyGXGfJsG7rtdtrsJ6,5gl0oEhI51LQlA02mGc1iF,1,Luís Cláudio Picolé,Luiz Carlo
01HmEyGXGfJsG7rtdtrsJ6,6KmCCX9LZNopxj16JOxi9i,1,Luís Cláudio Picolé,Juba
01HmEyGXGfJsG7rtdtrsJ6,7mMlUCwzwodzdMNJ1WSChD,1,Luís Cláudio Picolé,Márcio Paiva
01IZPQmcWDoIJP77DCykDY,3PkS3PEJpfj7eQPj5AOqg8,2,Daniel Oliveira,Ocimar Santos
01KrGKYTu8tsrn6eDljWIP,09ToHFEBynfXHrU1yPYfY2,2,Jorge Alves Barcelos,Eduardo Borges de Souza
01KrGKYTu8tsrn6eDljWIP,1P28TjXRQ5Zsbn0kB8VZzd,1,Jorge Alves Barcelos,Antonio Borges
01KrGKYTu8tsrn6eDljWIP,1XnZW7sNgQ2wHT0OFaQUxN,2,Jorge Alves Barcelos,Jose FernandoEmilio Olvera Sierra
