person_id,popularity,followers,name
06HL4z0CvFAxyc27GXpf02,100.0,89830429.0,Taylor Swift
1McMsnEElThX1knmY4oliG,90.0,29205213.0,Olivia Rodrigo
2LRoIwlKmHjgvigdNGBHNo,90.0,7937290.0,Feid
5K4W6rqBFWDnAN6FQUkS6x,90.0,21626057.0,Kanye West
1uNFoZAHBGtllmzznpCI3s,88.0,74223789.0,Justin Bieber
6eUKZXaKkcviH0Ku9w2n3V,88.0,114830798.0,Ed Sheeran
0du5cEVh5yTK9QJze8zA0C,88.0,51566811.0,Bruno Mars
6qqNVTkY8uBg9cP3Jd7DAH,88.0,87801069.0,Billie Eilish
7iK8PXO48WeuP03g8YR51W,87.0,12940970.0,Myke Towers
66CXWjxzNUsdJxJ2JdwvnR,87.0,94182752.0,Ariana Grande
0iEtIxbK0KxaSlF7G42ZOp,87.0,5866621.0,Metro Boomin
1wRPtKGflJrBx9BmLsSwlU,86.0,22235859.0,Pritam
1Cs0zKBU1kc0i8ypK3B9ai,86.0,26333898.0,David Guetta
6KImCVD70vtIoJWnq6nGn3,85.0,29821473.0,Harry Styles
6vWDO969PvNqNYHIOW5v0m,85.0,36054439.0,Beyoncé
7bXgB6jMjp9ATFy66eO08Z,85.0,20607240.0,Chris Brown
7CajNmpbOovFoOoasH2HaY,84.0,23384174.0,Calvin Harris
5YGY8feqx7naU7z4HrwZM6,84.0,22373290.0,Miley Cyrus
1HY2Jd0NmPuamShAr6KMms,83.0,28202246.0,Lady Gaga
1U1el3k54VvEUzo3ybLPlM,83.0,5487532.0,Kali Uchis
2wY79sveU1sp5g7SokKOiI,83.0,23193571.0,Sam Smith
6jJ0s89eD6GaHleKKya26X,82.0,29867087.0,Katy Perry
3nFkdlSjzX9mRTtwJOzDYB,82.0,8646301.0,JAY-Z
3PhoLpVuITZKcymswpck5b,81.0,12366158.0,Elton John
7n2wHs1TKAczGzO7Dd2rGr,81.0,42502682.0,Shawn Mendes
6VuMaDnrHyPL1p4EHjYLi7,81.0,21510925.0,Charlie Puth
64KEffDW9EtZ1y2vBYgq8T,81.0,34987773.0,Marshmello
3fMbdgg4jU18AjLCKBhRSm,81.0,29033818.0,Michael Jackson
7hJcb9fa4alzcOq3EaNPoG,81.0,10343411.0,Snoop Dogg
0GM7qgcRCORpGnfcN2tCiB,80.0,1756241.0,Tainy
0z4gvV4rjIZ9wHck67ucSV,80.0,4024610.0,Akon
1vCWHaC5f2uS3yhpwWbIA6,80.0,23099783.0,Avicii
26VFTg2z8YR0cCuwLzESi2,80.0,21034447.0,Halsey
