followers,genres,popularity,country,iso_code,person_id,name,person_kind
89830429.0,['pop'],100.0,United States,USA,06HL4z0CvFAxyc27GXpf02,Taylor Swift,Writers
89830429.0,['pop'],100.0,United States,USA,06HL4z0CvFAxyc27GXpf02,Taylor Swift,Performers
75574891.0,"['reggaeton', 'trap', 'urbano']",97.0,Puerto Rico,PRI,4q3ewBCX7sLwd24euuV69X,Bad Bunny,Performers
80895796.0,"['hip-hop', 'pop', 'rap']",97.0,Canada,CAN,3TVXtAsR1Inumwj472S9r4,Drake,Performers
73324485.0,"['r&b', 'pop']",94.0,Canada,CAN,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Producers
73324485.0,"['r&b', 'pop']",94.0,Canada,CAN,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Performers
24730858.0,"['hip-hop', 'rap', 'house']",92.0,United States,USA,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Producers
8369140.0,"['corrido', 'sierreno']",92.0,Mexico,MEX,12GqGscKJx3aE4t07u7eVZ,Peso Pluma,Performers
24730858.0,"['hip-hop', 'rap', 'house']",92.0,United States,USA,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Writers
24730858.0,"['hip-hop', 'rap', 'house']",92.0,United States,USA,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,Performers
28964158.0,['pop'],90.0,United States,USA,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,Writers
28964158.0,['pop'],90.0,United States,USA,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,Performers
21626057.0,"['rap', 'hip-hop']",90.0,United States,USA,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Writers
21626057.0,"['rap', 'hip-hop']",90.0,United States,USA,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Producers
21626057.0,"['rap', 'hip-hop']",90.0,United States,USA,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,Performers
40716781.0,"['reggaeton', 'trap', 'urbano']",90.0,Colombia,COL,790FomKkXshlbRYZFtlgla,KAROL G,Performers
29205213.0,['pop'],90.0,United States,USA,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,Performers
7937290.0,"['pop', 'reggaeton', 'trap', 'urbano']",90.0,Colombia,COL,2LRoIwlKmHjgvigdNGBHNo,Feid,Performers
92896673.0,"['filmi', 'bollywood']",89.0,India,IND,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,Performers
26893537.0,['pop'],89.0,United States,USA,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,Writers
10970039.0,"['corrido', 'cultural', 'sierreno']",89.0,Mexico,MEX,7Gi6gjaWy3DxyilpF1a8Is,Junior H,Writers
58004463.0,"['pop', 'urban']",89.0,United States,USA,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,Performers
15222849.0,"['hip-hop', 'rap']",89.0,United States,USA,1URnnhqYAYcrqrcwql10ft,21 Savage,Performers
77524861.0,"['hip-hop', 'rap']",89.0,United States,USA,7dGJo4pcD2V6oG8kP0tJRR,Eminem,Performers
92896673.0,"['filmi', 'bollywood']",89.0,India,IND,4YRxDV8wJFPHPTeXepOstw,Arijit Singh,Writers
77524861.0,"['hip-hop', 'rap']",89.0,United States,USA,7dGJo4pcD2V6oG8kP0tJRR,Eminem,Producers
10970039.0,"['corrido', 'cultural', 'sierreno']",89.0,Mexico,MEX,7Gi6gjaWy3DxyilpF1a8Is,Junior H,Performers
26893537.0,['pop'],89.0,United States,USA,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,Performers
15335766.0,"['pop', 'r&b', 'rap']",89.0,United States,USA,7tYKF4w9nC0nq9CsPZTHyP,SZA,Performers
42368215.0,"['rap', 'pop']",88.0,United States,USA,246dkjvS1zLTtiykXe5h60,Post Malone,Performers
114830798.0,['pop'],88.0,United Kingdom,GBR,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Performers
74223789.0,['pop'],88.0,Canada,CAN,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Performers
15068005.0,"['hip-hop', 'rap', 'trap']",88.0,United States,USA,1RyvyyTE3xzB2ZywiAwp0i,Future,Performers
10527334.0,['k-pop'],88.0,South Korea,KOR,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,Writers
2411324.0,"['country', 'pop']",88.0,United States,USA,40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,Performers
51566811.0,['pop'],88.0,United States,USA,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Writers
51566811.0,['pop'],88.0,United States,USA,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,Performers
74223789.0,['pop'],88.0,Canada,CAN,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Writers
87801069.0,['pop'],88.0,United States,USA,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Writers
114830798.0,['pop'],88.0,United Kingdom,GBR,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,Writers
10527334.0,['k-pop'],88.0,South Korea,KOR,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,Performers
87801069.0,['pop'],88.0,United States,USA,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Performers
25658350.0,"['hip-hop', 'rap']",87.0,United States,USA,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Producers
25658350.0,"['hip-hop', 'rap']",87.0,United States,USA,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Writers
5866621.0,['rap'],87.0,United States,USA,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,Producers
5866621.0,['rap'],87.0,United States,USA,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,Performers
12940970.0,"['reggaeton', 'trap', 'urbano']",87.0,Puerto Rico,PRI,7iK8PXO48WeuP03g8YR51W,Myke Towers,Performers
7427000.0,['country'],87.0,United States,USA,4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,Performers
5866621.0,['rap'],87.0,United States,USA,0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,Writers
18989321.0,"['pop', 'reggaeton', 'trap', 'urbano']",87.0,Puerto Rico,PRI,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,Performers
94182752.0,['pop'],87.0,United States,USA,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Performers
25658350.0,"['hip-hop', 'rap']",87.0,United States,USA,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Performers
12940970.0,"['reggaeton', 'trap', 'urbano']",87.0,Puerto Rico,PRI,7iK8PXO48WeuP03g8YR51W,Myke Towers,Writers
94182752.0,['pop'],87.0,United States,USA,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Writers
31637231.0,['pop'],86.0,Colombia,COL,0EmeFodog0BfCgMzAIvKQp,Shakira,Writers
29743689.0,"['pop', 'hip-hop', 'rap']",86.0,United States,USA,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Writers
5330045.0,"['corrido', 'sierreno']",86.0,Mexico,MEX,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,Performers
23191822.0,"['hip-hop', 'filmi']",86.0,India,IND,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,Writers
21673217.0,"['hip-hop', 'rap']",86.0,United States,USA,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,Producers
8413267.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,66ihevNkSYNzRAl44dx6jJ,Carin Leon,Writers
47602258.0,"['wave', 'pop']",86.0,United Kingdom,GBR,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Performers
26333898.0,"['big room', 'pop', 'edm']",86.0,France,FRA,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,Writers
31052684.0,['rap'],86.0,United States,USA,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,Performers
9075525.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,0elWFr7TW8piilVRYJUe4P,Natanael Cano,Writers
21986140.0,"['rock', 'wave', 'indie']",86.0,United Kingdom,GBR,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,Performers
31637231.0,['pop'],86.0,Colombia,COL,0EmeFodog0BfCgMzAIvKQp,Shakira,Producers
8413267.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,66ihevNkSYNzRAl44dx6jJ,Carin Leon,Performers
22235859.0,"['filmi', 'instrumental', 'bollywood']",86.0,India,IND,1wRPtKGflJrBx9BmLsSwlU,Pritam,Writers
15620446.0,"['hip-hop', 'trap', 'rap']",86.0,United States,USA,5f7VJjfbwm532GiveGC0ZK,Lil Baby,Performers
9075525.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,0elWFr7TW8piilVRYJUe4P,Natanael Cano,Performers
23191822.0,"['hip-hop', 'filmi']",86.0,India,IND,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,Performers
32992508.0,"['reggaeton', 'trap', 'urbano']",86.0,Puerto Rico,PRI,2R21vXR83lH98kGeO99Y66,Anuel AA,Performers
47602258.0,"['wave', 'pop']",86.0,United Kingdom,GBR,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Writers
12940680.0,"['hip-hop', 'pop', 'trap', 'urbano']",86.0,Argentina,ARG,716NhGYqD1jl2wI1Qkgq36,Bizarrap,Performers
